,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,Male,Yes,2,Graduate,Yes,35151.0,12525.240837959569,20.0,120,0,Rural,N
1,Male,No,3+,Graduate,No,37518.0,5573.172898884511,304.0,180,1,Urban,N
2,Male,Yes,2,Not Graduate,Yes,5710.0,24513.56929464113,307.0,180,0,Urban,Y
3,Male,No,0,Not Graduate,No,20601.0,18776.575269777448,64.0,300,1,Urban,Y
4,Male,No,1,Graduate,No,33964.0,4136.167798787248,108.0,360,1,Urban,N
5,Male,Yes,0,Graduate,No,19656.0,1159.805984064919,101.0,240,1,Semiurban,Y
6,Male,No,2,Graduate,No,36283.0,29548.937269164384,240.0,360,1,Rural,Y
7,Male,No,0,Not Graduate,No,36757.0,33198.42436190704,155.0,60,1,Semiurban,N
8,Male,Yes,2,Not Graduate,No,24989.0,29967.531884484542,60.0,60,0,Semiurban,N
9,Male,Yes,0,Not Graduate,No,19952.0,23761.472212944205,168.0,360,0,Semiurban,N
10,Female,Yes,0,Graduate,No,256.0,161.1205654435805,124.0,120,1,Rural,Y
11,Male,No,3+,Graduate,Yes,19334.0,11303.369640473851,500.0,240,1,Semiurban,N
12,Male,Yes,1,Not Graduate,No,33177.0,2077.5649898900556,561.0,480,0,Rural,Y
13,Female,No,1,Not Graduate,Yes,22124.0,11373.788836353917,47.0,60,1,Semiurban,N
14,Male,Yes,3+,Not Graduate,Yes,33233.0,22894.366017165506,395.0,180,0,Rural,Y
15,Male,Yes,0,Graduate,Yes,34356.0,9391.569193917994,326.0,300,1,Rural,Y
16,Female,No,3+,Graduate,Yes,13768.0,4728.268022496909,504.0,120,1,Urban,N
17,Female,Yes,0,Not Graduate,Yes,8238.0,17649.530092041092,375.0,180,0,Urban,Y
18,Male,Yes,1,Graduate,Yes,14465.0,2245.0465226279816,348.0,60,1,Rural,Y
19,Male,Yes,0,Graduate,Yes,12951.0,28534.029726129178,413.0,180,1,Rural,Y
20,Female,No,2,Not Graduate,No,14684.0,32473.276712915675,220.0,300,1,Rural,Y
21,Male,Yes,3+,Not Graduate,Yes,30761.0,4259.935999309571,405.0,180,0,Urban,Y
22,Male,Yes,1,Graduate,Yes,11547.0,28211.50253096149,438.0,240,1,Rural,N
23,Male,Yes,3+,Graduate,No,15089.0,22862.179283307345,265.0,480,0,Urban,N
24,Female,No,0,Graduate,No,18613.0,12835.979975462335,543.0,240,1,Rural,N
25,Male,No,3+,Graduate,No,21705.0,32391.017722351746,432.0,240,0,Rural,Y
26,Female,Yes,3+,Not Graduate,Yes,1903.0,25422.694327083547,559.0,240,1,Rural,Y
27,Male,Yes,2,Not Graduate,No,17635.0,7490.260369935075,100.0,360,0,Urban,Y
28,Female,Yes,0,Graduate,Yes,9046.0,5380.178451893824,312.0,180,1,Semiurban,N
29,Female,No,3+,Not Graduate,No,10777.0,11690.52747101591,560.0,240,1,Urban,Y
30,Male,Yes,2,Graduate,Yes,16442.0,10404.885035883377,356.0,84,0,Rural,Y
31,Male,No,2,Graduate,No,26694.0,22261.159899954906,460.0,360,1,Rural,Y
32,Female,Yes,3+,Graduate,Yes,881.0,28357.147715008028,555.0,240,1,Rural,N
33,Male,Yes,1,Graduate,No,15254.0,21.31747431243316,96.0,360,1,Rural,Y
34,Male,Yes,3+,Graduate,No,37066.0,10566.637022345507,146.0,300,1,Semiurban,Y
35,Male,No,2,Graduate,Yes,23253.0,20347.58653786541,482.0,360,1,Semiurban,Y
36,Female,Yes,1,Graduate,Yes,10236.0,25893.849179947043,526.0,240,0,Rural,N
37,Male,Yes,3+,Not Graduate,Yes,36690.0,17743.52524837166,400.0,180,0,Rural,Y
38,Female,Yes,2,Graduate,No,29733.0,1527.510867606937,185.0,84,1,Urban,N
39,Male,Yes,3+,Graduate,No,30026.0,4304.5413151847515,268.0,84,0,Urban,N
40,Male,Yes,2,Graduate,Yes,2811.0,3958.1038501862995,317.0,300,0,Rural,Y
41,Male,Yes,2,Graduate,Yes,1254.0,9638.599703948144,287.0,180,0,Urban,Y
42,Male,No,2,Graduate,Yes,12906.0,29649.583905883923,268.0,84,1,Rural,Y
43,Male,Yes,0,Graduate,No,21240.0,10041.642527445387,251.0,480,1,Semiurban,N
44,Male,No,0,Graduate,Yes,30299.0,21835.67745316653,494.0,84,1,Semiurban,Y
45,Male,Yes,0,Graduate,No,5665.0,523.4727162479219,94.0,180,1,Semiurban,N
46,Female,Yes,0,Graduate,Yes,30252.0,5258.380729333004,389.0,300,1,Semiurban,Y
47,Male,No,3+,Not Graduate,Yes,2478.0,26501.409348226585,399.0,180,0,Rural,Y
48,Female,No,3+,Graduate,No,8477.0,30109.630661702577,550.0,240,1,Urban,N
49,Male,No,1,Graduate,Yes,20970.0,12634.496628089932,31.0,120,1,Semiurban,N
