,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,Month,OperatingSystems,Revenue
0,22.0,1854.7351879034634,0.0107112302318935,0.0003582508020438787,Aug,1,0
1,18.0,2702.0210010746787,0.04527732711576572,0.042137294735407095,Nov,3,1
2,7.0,1184.9782608120656,0.011228187745716484,0.011977011786241585,Mar,1,0
3,88.0,2158.7512659011813,0.014790385113590794,0.03131559614695882,Jul,2,0
4,0.0,1370.0470955355772,0.003112198621998221,0.012295337891392902,May,1,0
5,24.0,2733.3488111661977,0.18873011427355704,0.19354473583377887,Nov,1,0
6,89.0,301.24282802752725,0.00626214811962488,0.020147530195624375,Nov,4,0
7,4.0,894.5694315414127,0.17177322276713472,0.15636527730125094,Mar,5,0
8,26.0,1691.6446583656073,0.012799258955366065,0.00312940850010279,May,2,0
9,29.0,2519.643195160196,0.19397468340379184,0.19403442777506472,Nov,1,1
10,2.0,1342.6817008080693,0.08349870661573233,0.05356917096528233,Nov,1,0
11,206.0,10984.425549619818,0.00422733944639783,0.00981646939998189,Nov,3,1
12,221.0,33901.04746521634,0.11424699561907208,0.13863397633937946,Nov,6,0
13,68.0,2736.107029375173,0.00038377421728362564,0.003969213210019231,Nov,1,1
14,34.0,1413.7922975368765,0.005483901617958912,0.03268478073407413,Mar,1,0
15,7.0,2363.3700340967594,0.005496111814670662,0.015220176491059233,May,3,0
16,293.0,16614.533219240366,0.000745613166334116,0.12551226772521354,Feb,8,1
17,5.0,164.54898695583984,0.0007707926485903564,0.00219131662602407,May,1,1
18,24.0,2380.832336205672,0.0069787495816342904,0.0069903279338822035,Dec,3,0
19,43.0,1782.7050000082477,0.017726183184491283,0.03483689901081908,May,2,0
20,28.0,2576.898022883392,0.012115112864964578,0.10453531638933045,May,2,0
21,36.0,367.91184059240743,0.027220789969515675,0.13315060521553676,May,8,1
22,112.0,4905.902788340221,0.006034626634401027,0.0220384678337658,Dec,2,0
23,35.0,109.82178927686901,0.0007692115257208847,0.019366819671587977,Nov,2,1
24,381.0,31567.324918851562,0.06575470706742823,0.1988076872793401,May,6,1
25,14.0,4640.076213244431,0.1115727543261489,0.1417165537851562,June,1,0
26,643.0,37544.82097642631,0.16107936291376945,0.1401115942234921,Oct,6,1
27,34.0,2089.817942016039,0.018951040502021226,0.023022712119378917,May,2,0
28,67.0,2585.345728221341,0.012138528780540862,0.006265397595119752,Nov,2,1
29,380.0,31559.732493396,0.06257967577091268,0.044046508412716096,May,1,1
30,13.0,1499.279622226706,0.0030330742308528895,0.0011270554131283328,Sep,2,1
31,433.0,6502.841587826355,0.055828689664228735,0.1398211134586306,Oct,6,0
32,436.0,35303.18312223823,0.005902629198248937,0.18509003329558196,Oct,8,1
33,38.0,2494.652784123832,0.0002991442746926939,0.014154742995649396,Nov,3,1
34,9.0,323.4587844763914,0.007070297579790519,0.038525839475314516,May,1,0
35,230.0,6981.945178949114,0.010207142755728064,0.1961130320623623,Mar,1,1
36,699.0,20046.140929579753,0.0044901109860826,0.15181126883868576,Feb,7,1
37,3.0,1800.4551048820617,0.10558144589531114,0.027468293898715627,June,1,0
38,18.0,416.852190020154,0.05918234153930419,0.09222667703712506,May,8,0
39,23.0,1985.8762295507313,0.003495775570017168,0.012174001823734983,Aug,2,0
40,1.0,1638.2855053088954,0.011711339030595253,0.025634177365314148,Nov,3,0
41,20.0,2385.351532020224,0.011675318651936703,0.017730816169550957,Mar,2,0
42,43.0,637.3283530835712,0.008702382028773718,0.00987687419207746,May,1,0
43,52.0,2644.801090943355,0.04696029498398335,0.06829980610757713,Aug,2,0
44,122.0,7839.387931576937,0.013002003932649428,0.0037952351297127034,Nov,2,0
45,6.0,199.7706028856694,0.007899529617400116,0.00744918533890674,Sep,3,0
46,27.0,2664.2910453546006,0.007124484346634169,0.04679503424846874,Mar,7,0
47,42.0,2409.852931746963,0.003457914597733667,0.03982913863742893,May,2,0
48,151.0,23369.81353886343,0.0820232590558642,0.06501920608309994,Sep,5,1
49,0.0,125.26646839101325,0.009656304530385866,0.01855410543730167,Mar,8,0
50,51.0,124.5552692729504,0.1812139968043413,0.18652918731328977,Mar,4,0
51,25.0,1938.0503287416338,0.0049329666392538074,0.04269870514348346,May,2,0
52,1.0,661.712607797879,0.0019950476397954586,0.0022536048860240143,May,2,0
53,4.0,946.8122323634238,0.008307286771724527,0.022734552390659857,Nov,3,0
54,23.0,1934.65444515774,0.005589992268118732,0.022279921938339567,Dec,3,0
55,90.0,669.4527380575884,0.0023292654506265145,0.06824858488785229,Aug,8,1
56,114.0,4252.914184173566,0.054748675982400664,0.04287675523409563,Aug,8,0
57,66.0,1114.0845861571784,0.004914811347074085,0.020998271825297787,Jul,3,0
58,30.0,2867.8750636298655,0.016925839876480785,0.016139711930302312,Nov,2,0
59,4.0,2501.4672337873667,0.00013523571568507218,0.049466835278008006,May,3,0
60,27.0,883.0344857467687,0.009455757090694274,0.012845099602629416,Nov,3,1
61,8.0,2670.508064520008,0.01631316225489175,0.02450041984361051,Mar,2,0
62,123.0,3743.9401598486347,0.005180159095438745,0.02402805414956488,Mar,2,1
63,45.0,1108.059338904378,0.008055163840946044,0.05256904303944594,May,1,0
64,661.0,17391.870900371992,0.18191487799553668,0.030038532511393948,Aug,2,1
65,26.0,1815.8789498023389,0.005680335211630654,0.052649860842950175,Nov,2,0
66,28.0,943.0769874532504,0.010205872052842598,0.001325068147789099,May,2,0
67,7.0,603.9218679416017,0.00821901127384113,0.04596373186342806,Mar,1,0
68,13.0,2452.3669009229493,0.026266019975769307,0.04903481679958621,May,2,0
69,47.0,477.431816547707,0.07272490653305297,0.1340813445201078,Jul,6,0
70,47.0,1009.7068949056674,0.004132358160367063,0.018950045834646483,May,2,0
71,53.0,683.6725360400264,0.0023567100743770776,0.0195676017040925,Nov,2,1
72,33.0,2402.7464439859946,0.010089390026835237,0.007980251447918993,Jul,2,1
