,age,job,education,balance,pdays,deposit
0,33.0,unemployed,secondary,1456.0,180.0,yes
1,28.0,management,tertiary,-210.0,172.0,yes
2,39.0,unemployed,primary,7639.0,69.0,yes
3,33.0,services,secondary,1459.0,190.0,yes
4,32.0,services,secondary,-924.0,66.0,yes
5,25.0,blue-collar,secondary,722.0,396.0,no
6,27.0,unemployed,secondary,16196.0,180.0,yes
7,36.0,admin.,secondary,1239.0,136.0,yes
8,64.0,blue-collar,primary,819.0,511.0,yes
9,66.0,management,secondary,9719.0,814.0,yes
10,35.0,student,secondary,-685.0,97.0,yes
11,38.0,blue-collar,secondary,692.0,174.0,yes
12,37.0,technician,primary,-790.0,63.0,yes
13,37.0,unemployed,tertiary,1144.0,731.0,yes
14,33.0,blue-collar,secondary,992.0,340.0,no
15,74.0,retired,secondary,823.0,198.0,yes
16,55.0,admin.,secondary,65803.0,88.0,yes
17,40.0,management,tertiary,779.0,289.0,yes
18,45.0,admin.,primary,3632.0,190.0,yes
19,28.0,technician,tertiary,25915.0,208.0,no
20,33.0,management,tertiary,7423.0,85.0,yes
21,58.0,technician,secondary,2212.0,196.0,yes
22,26.0,student,secondary,415.0,217.0,yes
23,45.0,technician,secondary,4273.0,683.0,no
24,45.0,blue-collar,primary,-816.0,212.0,yes
25,60.0,admin.,secondary,18259.0,585.0,no
26,63.0,retired,primary,1946.0,66.0,yes
27,35.0,blue-collar,secondary,18277.0,213.0,yes
28,34.0,services,secondary,4150.0,214.0,yes
29,37.0,management,tertiary,2319.0,100.0,yes
30,34.0,management,tertiary,-301.0,181.0,no
31,37.0,technician,secondary,10606.0,76.0,yes
32,32.0,management,tertiary,2312.0,100.0,yes
33,31.0,admin.,secondary,-847.0,143.0,no
34,35.0,blue-collar,secondary,1169.0,824.0,yes
35,29.0,management,tertiary,8803.0,414.0,yes
36,36.0,management,tertiary,7086.0,235.0,yes
37,53.0,retired,secondary,4507.0,127.0,yes
38,41.0,management,tertiary,1626.0,247.0,no
39,64.0,self-employed,tertiary,77593.0,83.0,yes
40,48.0,management,tertiary,-452.0,108.0,yes
41,62.0,retired,secondary,1528.0,42.0,yes
42,25.0,student,secondary,1359.0,98.0,yes
43,34.0,blue-collar,secondary,2988.0,379.0,no
44,28.0,management,tertiary,2260.0,95.0,yes
45,43.0,management,tertiary,3831.0,205.0,yes
46,45.0,services,secondary,1664.0,348.0,yes
47,32.0,blue-collar,secondary,1367.0,311.0,yes
48,51.0,retired,tertiary,-359.0,299.0,yes
49,68.0,retired,tertiary,3144.0,80.0,yes
50,33.0,technician,secondary,827.0,270.0,yes
51,48.0,management,tertiary,1604.0,79.0,no
52,72.0,retired,primary,2682.0,317.0,yes
53,43.0,blue-collar,primary,2054.0,255.0,yes
54,60.0,management,tertiary,70.0,371.0,yes
55,47.0,blue-collar,primary,2720.0,444.0,yes
56,43.0,technician,tertiary,-116.0,817.0,yes
57,47.0,management,tertiary,4042.0,209.0,no
58,40.0,technician,secondary,20946.0,387.0,no
59,38.0,management,tertiary,4460.0,367.0,no
60,48.0,technician,secondary,1698.0,104.0,yes
61,26.0,management,tertiary,1007.0,96.0,yes
62,33.0,management,tertiary,2157.0,218.0,no
63,67.0,retired,primary,3250.0,185.0,yes
64,55.0,technician,secondary,289.0,73.0,no
65,37.0,technician,secondary,2556.0,378.0,no
66,70.0,retired,secondary,77589.0,218.0,yes
67,33.0,admin.,secondary,1133.0,185.0,yes
68,40.0,retired,tertiary,15862.0,748.0,no
69,35.0,blue-collar,secondary,3032.0,282.0,no
70,75.0,services,secondary,72104.0,347.0,yes
71,24.0,technician,secondary,2121.0,97.0,yes
72,65.0,management,tertiary,1977.0,465.0,yes
73,62.0,retired,secondary,3810.0,220.0,yes
74,32.0,admin.,secondary,3064.0,309.0,no
75,45.0,management,tertiary,25023.0,69.0,yes
76,36.0,admin.,tertiary,4172.0,141.0,yes
77,55.0,retired,tertiary,36534.0,657.0,yes
78,35.0,management,tertiary,-127.0,7.0,yes
79,32.0,student,tertiary,9292.0,203.0,yes
80,32.0,admin.,secondary,3869.0,111.0,no
81,47.0,admin.,secondary,54856.0,58.0,yes
82,32.0,services,secondary,593.0,426.0,yes
83,54.0,management,tertiary,63483.0,266.0,no
84,62.0,retired,secondary,3913.0,68.0,yes
85,36.0,technician,tertiary,-586.0,268.0,yes
86,35.0,management,tertiary,3283.0,94.0,no
87,40.0,technician,secondary,3835.0,78.0,yes
88,33.0,management,tertiary,1518.0,26.0,yes
89,38.0,technician,secondary,5786.0,60.0,yes
90,34.0,self-employed,tertiary,426.0,332.0,yes
91,28.0,blue-collar,secondary,366.0,18.0,yes
92,48.0,management,tertiary,9203.0,60.0,yes
93,36.0,technician,secondary,3208.0,355.0,no
94,29.0,management,tertiary,477.0,75.0,yes
95,32.0,blue-collar,primary,3138.0,145.0,yes
96,51.0,management,secondary,3540.0,80.0,yes
97,47.0,management,tertiary,60741.0,246.0,yes
