ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,Month,OperatingSystems,Revenue
10,627.5,0.02,0.05,Feb,3,0
0,0,0.2,0.2,Feb,1,0
13,334.9666667,0,0.007692308,Feb,1,0
8,136.1666667,0,0.008333333,Feb,2,0
1,0,0.2,0.2,Feb,2,0
3,78,0,0.066666667,Feb,1,0
8,388,0.025,0.05625,Feb,3,0
1,0,0.2,0.2,Feb,1,0
2,29,0,0.1,Feb,2,0
14,706.5,0,0.007142857,Feb,2,0
1,0,0.2,0.2,Feb,1,0
7,208,0,0.028571429,Feb,4,0
1,0,0.2,0.2,Feb,2,0
1,0,0.2,0.2,Feb,1,0
19,607,0,0.026984127,Feb,1,1
12,317.8333333,0,0.005555556,Feb,1,0
2,222,0,0.1,Feb,2,0
21,615.8831169,0.033333333,0.04993081,Feb,3,0
1,0,0.2,0.2,Feb,3,0
6,117.5,0,0.033333333,Feb,1,0
31,829.1666667,0.03030303,0.040606061,Feb,1,0
23,1223,0.015217391,0.012463768,Feb,1,0
20,665.4722222,0,0.0145,Feb,3,0
15,487.5,0,0.019166667,Feb,1,0
1,0,0.2,0.2,Feb,1,0
24,446.9277778,0,0.008602151,Feb,2,0
17,284.25,0,0.011764706,Feb,3,0
8,260,0.008333333,0.025,Feb,3,0
96,3283.166739,0.001960784,0.013509414,Mar,3,0
22,354.3333333,0.009090909,0.057662338,Mar,1,0
55,1970.844805,0,0.001724138,Mar,2,1
50,2867,0,0.004,Mar,2,1
5,43,0,0.04,Mar,1,0
5,558.5,0,0.028571429,Mar,2,0
7,591,0.006666667,0.033333333,Mar,1,0
2,19,0,0.1,Mar,2,0
50,1245.3,0.004,0.020666667,Mar,2,0
9,132,0.011111111,0.033333333,Mar,4,0
50,1434.255128,0,0.019230769,Mar,2,0
18,367.25,0.005263158,0.044210526,Mar,3,0
29,1482.210784,0.006896552,0.010600255,Mar,3,0
34,1048.492063,0.011578947,0.032225685,Mar,2,0
9,478,0,0.011111111,Mar,3,0
28,2389.333333,0.016666667,0.030833333,Mar,2,0
71,2753.378571,0.012676056,0.015201207,Mar,3,0
46,2452.582143,0.007246377,0.022253906,Mar,3,0
2,8,0,0.1,Mar,2,0
14,527.375,0.015555556,0.033862434,Mar,7,0
29,1916.761905,0.006451613,0.018709677,Mar,2,1
63,5220.083333,0,0.003329865,Mar,2,1
6,236.5,0,0.016666667,Mar,1,0
14,348.6666667,0.035714286,0.053571429,Mar,3,0
5,75.5,0.02,0.013333333,Mar,1,0
10,197.2,0,0.016666667,Mar,1,1
3,41,0,0.033333333,Mar,2,0
11,300.0714286,0,0.02,Mar,2,1
1,0,0.2,0.2,Mar,1,0
17,528.9,0,0.002272727,Mar,1,0
15,872.8333333,0,0.026666667,Mar,2,0
2,9,0,0.1,Mar,2,0
23,267.3,0,0.016,Mar,1,0
3,75,0,0.066666667,Mar,2,0
15,175.9166667,0.013333333,0.026666667,Mar,1,0
12,250.8333333,0,0.016666667,Mar,3,0
19,298,0,0.016666667,Mar,2,0
12,166,0.028571429,0.071428571,Mar,2,0
10,226.8333333,0,0.01,Mar,1,0
13,226,0,0.053846154,Mar,2,0
27,559.4,0.014814815,0.030452675,Mar,2,0
7,212.1666667,0,0.00625,Mar,3,0
25,397.8846154,0.005333333,0.033504762,Mar,2,0
14,548.1857143,0.028571429,0.02987013,Mar,3,0
3,103,0,0.022222222,Mar,1,0
30,1569.625,0,0.008108108,Mar,1,1
37,758.4428571,0,0.010526316,Mar,1,0
11,305.875,0,0.001709402,Mar,1,0
2,62,0,0.025,Mar,3,0
15,656.25,0.028571429,0.028571429,Mar,1,0
15,245,0,0.0125,Mar,2,1
3,20,0,0.066666667,Mar,2,0
1,0,0.2,0.2,Mar,1,0
55,872.4,0.003508772,0.01754386,Mar,2,0
7,139,0.022222222,0.055555556,Mar,2,0
5,288.5,0,0.0125,Mar,2,0
2,0,0.2,0.2,Mar,2,0
41,1546.5,0,0.008333333,Mar,3,0
9,198.8333333,0,0.006060606,Mar,3,0
8,181,0.075,0.1,Mar,3,0
15,208.5,0,0.011764706,Mar,2,0
31,1759.416667,0,0.002903226,Mar,2,0
0,0,0,0.05,Mar,3,0
12,616.4,0,0.018181818,Mar,1,0
5,819.5,0,0.036,Mar,2,0
30,659.2,0,0.006451613,Mar,2,0
5,427,0,0.04,Mar,3,0
17,766.5,0,0.0125,Mar,2,1
11,416.5,0,0.007142857,Mar,3,0
8,445,0,0.014285714,Mar,3,0
24,758.1444444,0.04,0.059846154,Mar,3,0
30,709.8333333,0.026666667,0.046666667,Mar,1,0
11,687.5,0.020512821,0.035897436,Mar,3,0
9,312,0,0.044444444,Mar,1,0
45,2502.966667,0,0.008510638,Mar,2,0
4,2528,0,0.066666667,Mar,2,0
7,289.5,0,0.014285714,Mar,1,0
1,10,0,0.1,Mar,3,0
6,65,0,0.025,Mar,2,0
16,630.75,0,0.04047619,Mar,3,0
14,336.5,0,0.005555556,Mar,3,0
5,77,0,0.04,Mar,2,0
