,DTWpc,Eucpc_corr,PCDpc,Pearson_ori,Pearson_pc,DTWpriv,Eucpriv_corr,PCDpriv,Pearson_priv,epsilon
0,56429607.9061389,6070559.734769893,0.1085482457477655,-0.2449529718266792,-0.13640472607891369,50748797.735525295,5486578.16046929,0.38818807807543104,0.14323510624875185,0.1
1,41702792.92603045,6186495.048159005,0.46350538035862854,-0.24637303771550595,0.2171323426431226,43976758.06835429,6498245.766972297,0.38058752385451844,0.13421448613901246,0.1
2,32373506.035215683,5338767.144468776,0.08356952680280891,-0.24772160585030242,-0.33129113265311133,37997638.62315954,5806429.288276147,0.262299872382059,0.014578266531756567,0.1
3,42258883.52968231,6242476.697081022,0.10522084221165129,-0.24900199059861228,-0.143781148386961,44672077.15660542,6582020.195787724,0.08780214857450455,-0.16119984202410773,0.1
4,34673926.76210327,5431485.646894351,0.009510343554897133,-0.25021732740434394,-0.2407069838494468,42311169.493296966,6246629.027809834,0.12908540155604759,-0.3793027289603915,0.1
5,39709729.18664589,6073063.466101446,0.04791078252995862,-0.25137058407762464,-0.29928136660758325,39969234.17807959,5992843.939149617,0.040710905029668676,-0.2920814891072933,0.1
6,42294846.27980615,6224873.531335534,0.1273360962386011,-0.25246457126534155,-0.37980066750394265,42298816.74245843,6231259.63481168,0.14461273010717773,-0.3970773013725193,0.1
7,37405122.586691044,5707558.836580486,0.13907693935599047,-0.25350195216964266,-0.39257889152563313,37146473.59656372,5706209.781303542,0.2259549578227012,-0.47945690999234386,0.1
8,38839026.514383495,5850499.304617391,0.1971125030413855,-0.25448525157549523,-0.45159775461688073,40153837.94529896,6038979.805487945,0.028898092660787078,-0.22558715891470815,0.1
9,41778834.09174302,6185285.0100712925,0.17353253265986457,-0.2554168642428493,-0.4289493969027139,40220472.13066301,6045548.818803,0.17458017442442086,-0.4299970386672702,0.1
10,43678302.49688346,6449734.624726686,0.18638246616748605,-0.25629906271403197,-0.442681528881518,41802379.11528403,6171211.067512554,0.2761118909190437,-0.5324109536330757,0.2
11,41051911.850964084,6109903.753915949,0.1467646675590506,-0.257134004582407,-0.4038986721414576,45862290.248238966,6725456.061097248,0.14606033807579621,-0.4031943426582032,0.2
12,30386543.48152458,5053104.722426842,0.11739578770777254,-0.2579237392643895,-0.37531952697216203,36974617.08927602,5660335.263124736,0.31397617751402107,-0.5718999167784106,0.2
13,41373634.554518595,6148612.385523935,0.23012896558512763,-0.25867021431315723,-0.48879917989828486,45717303.2432957,6757367.956692264,0.11585669686414446,-0.3745269111773017,0.2
