,klpc,distocenterpc,wdispc,nodessimpc,pc_node_num,klpriv,distocenterpriv,wdispriv,nodessimpriv,priv_node_num,cluster_intra_dis_diff_pc_priv,cluster_real_node_num,epsilon
0,0.12368693893985103,47645.78125,10736.398805787523,1.0,56.0,0.10819929031794658,52496.009353741494,5339.543128030959,0.75,42.0,4850.228103741494,56.0,0.1
1,0.10465430194592744,44959.216185410325,4372.633797930839,0.8392857142857143,47.0,0.12535318674018484,52129.4478021978,5514.600542178611,0.9285714285714286,52.0,7170.231616787474,56.0,0.1
2,0.1209999612345791,53883.70941558442,5586.011813393487,0.8214285714285714,66.0,0.11411629176918109,64261.33059845559,4856.968400885623,0.6607142857142857,37.0,10377.621182871175,56.0,0.1
3,0.1329747280642386,58642.045329670334,8293.12390178984,0.9285714285714286,52.0,0.135736683181887,58545.099137931036,10476.992555093699,0.9642857142857143,58.0,96.94619173929823,56.0,0.1
4,0.124302654472211,45224.37640056022,10934.400098862217,0.9107142857142857,51.0,0.10989890060174586,58998.76317330211,6557.289594434393,0.9107142857142857,61.0,13774.386772741891,56.0,0.1
5,0.12275656403750047,53409.439174107145,5448.461701873145,0.8571428571428572,64.0,0.13727017569495326,56585.18121693122,20358.378548832516,0.9642857142857143,54.0,3175.742042824073,56.0,0.1
6,0.10889219233937722,54090.32386363636,5888.257008838712,0.7857142857142857,44.0,0.11230106389900472,57323.9337797619,6240.842812509484,0.8571428571428572,48.0,3233.6099161255406,56.0,0.1
7,0.120282844778509,51286.75191326531,6978.430334360041,1.0,56.0,0.11038460668214699,55164.82596852301,6225.012087832577,0.9464285714285714,59.0,3878.074055257697,56.0,0.1
8,0.10551473450774707,52417.020161290326,5118.046768194054,0.8928571428571429,62.0,0.12253543069721917,53593.92351752023,8414.414485681758,0.9464285714285714,53.0,1176.903356229901,56.0,0.1
9,0.11569284624982376,46301.555272108846,8464.871615708973,0.875,63.0,0.13163884837484138,57061.57195378151,6387.358283176421,0.7857142857142857,68.0,10760.016681672663,56.0,0.1
10,0.13354239099727364,53138.21802325582,4968.509294479238,0.7678571428571428,43.0,0.13466865742350834,46039.516233766226,4178.705303682581,0.7857142857142857,44.0,7098.701789489591,56.0,0.2
11,0.11737365000137302,59272.083705357145,5210.9119514804615,0.8571428571428572,64.0,0.1144954712331448,51090.23285714285,8620.498203589408,0.8928571428571429,50.0,8181.850848214293,56.0,0.2
